COD_MUNICIPIO,COD_DISTRITO,NOMBRE_DISTRITO,ETIQUETA
08019,01,Ciutat Vella,01 - Ciutat Vella
08019,02,Eixample,02 - Eixample
08019,03,Sants-Montjuïc,03 - Sants-Montjuïc
08019,04,Les Corts,04 - Les Corts
08019,05,Sarrià-Sant Gervasi,05 - Sarrià-Sant Gervasi
08019,06,Gràcia,06 - Gràcia
08019,07,Horta-Guinardó,07 - Horta-Guinardó
08019,08,Nou Barris,08 - Nou Barris
08019,09,Sant Andreu,09 - Sant Andreu
08019,10,Sant Martí,10 - Sant Martí
28079,01,Centro,01 - Centro
28079,02,Arganzuela,02 - Arganzuela
28079,03,Retiro,03 - Retiro
28079,04,Salamanca,04 - Salamanca
28079,05,Chamartín,05 - Chamartín
28079,06,Tetuán,06 - Tetuán
28079,07,Chamberí,07 - Chamberí
28079,08,Fuencarral-El Pardo,08 - Fuencarral-El Pardo
28079,09,Moncloa-Aravaca,09 - Moncloa-Aravaca
28079,10,Latina,10 - Latina
28079,11,Carabanchel,11 - Carabanchel
28079,12,Usera,12 - Usera
28079,13,Puente de Vallecas,13 - Puente de Vallecas
28079,14,Moratalaz,14 - Moratalaz
28079,15,Ciudad Lineal,15 - Ciudad Lineal
28079,16,Hortaleza,16 - Hortaleza
28079,17,Villaverde,17 - Villaverde
28079,18,Villa de Vallecas,18 - Villa de Vallecas
28079,19,Vicálvaro,19 - Vicálvaro
28079,20,San Blas-Canillejas,20 - San Blas-Canillejas
28079,21,Barajas,21 - Barajas
46250,01,Ciutat Vella,01 - Ciutat Vella
46250,02,L'Eixample,02 - L'Eixample
46250,03,Extramurs,03 - Extramurs
46250,04,Campanar,04 - Campanar
46250,05,La Saïdia,05 - La Saïdia
46250,06,El Pla del Real,06 - El Pla del Real
46250,07,L'Olivereta,07 - L'Olivereta
46250,08,Patraix,08 - Patraix
46250,09,Jesús,09 - Jesús
46250,10,Quatre Carreres,10 - Quatre Carreres
46250,11,Poblats Marítims,11 - Poblats Marítims
46250,12,Camins al Grau,12 - Camins al Grau
46250,13,Algirós,13 - Algirós
46250,14,Benimaclet,14 - Benimaclet
46250,15,Rascanya,15 - Rascanya
46250,16,Benicalap,16 - Benicalap
46250,17,Pobles del Nord,17 - Pobles del Nord
46250,18,Pobles de l'Oest,18 - Pobles de l'Oest
46250,19,Pobles del Sud,19 - Pobles del Sud
